Año,Local_ID,Local,Resultado_L,Resultado_V,Visitante_ID,Visitante,Fecha/Grupo,Evento
2012,17,Boca Juniors,2,1,10,Atl Rafaela, Fecha 5,Torneo Inicial 2012
2012,10,Atl Rafaela,2,2,17,Boca Juniors,Fecha 13,Torneo Clausura 2012 
2011,17,Boca Juniors,3,1,10,Atl Rafaela,Fecha 13,Torneo Apertura 2011 
2004,10,Atl Rafaela,0,1,17,Boca Juniors, Fecha 9,Torneo Clausura 2004
2003,17,Boca Juniors,2,0,10,Atl Rafaela, Fecha 9,Torneo Apertura 2003
2019,17,Boca Juniors,2,0,11,Atl Tucuman,Fecha 19,Superliga 2019/20 
2018,17,Boca Juniors,1,2,11,Atl Tucuman,Fecha 15,Superliga 2018/19 
2017,11,Atl Tucuman,1,1,17,Boca Juniors,Fecha 20,Superliga 2017/18 
2016,11,Atl Tucuman,2,2,17,Boca Juniors, Fecha 7,Campeonato 2016/17
2016,17,Boca Juniors,0,1,11,Atl Tucuman, Fecha 2,Torneo 2016
2010,17,Boca Juniors,0,0,11,Atl Tucuman, Fecha 4,Torneo Clausura 2010
2009,11,Atl Tucuman,2,0,17,Boca Juniors, Fecha 4,Torneo Apertura 2009
1981,17,Boca Juniors,2,1,11,Atl Tucuman, Grupo D,Nacional 1981
1981,11,Atl Tucuman,1,0,17,Boca Juniors, Grupo D,Nacional 1981
1978,17,Boca Juniors,4,2,11,Atl Tucuman, Grupo B,Nacional 1978
1978,11,Atl Tucuman,1,0,17,Boca Juniors, Grupo B,Nacional 1978
1976,17,Boca Juniors,0,1,11,Atl Tucuman, Grupo A,Nacional 1976
1976,11,Atl Tucuman,1,2,17,Boca Juniors, Grupo A,Nacional 1976
1975,17,Boca Juniors,4,1,11,Atl Tucuman, Grupo B,Nacional 1975
1975,11,Atl Tucuman,3,2,17,Boca Juniors, Grupo B,Nacional 1975
1973,17,Boca Juniors,4,2,11,Atl Tucuman, Grupo B,Nacional 1973
1984,13,Atlanta,0,5,17,Boca Juniors,Fecha 34,Metropolitano 1984 
1984,17,Boca Juniors,1,2,13,Atlanta,Fecha 15,Metropolitano 1984 
1979,17,Boca Juniors,0,0,13,Atlanta, Grupo B,Metropolitano 1979
1979,13,Atlanta,2,3,17,Boca Juniors, Grupo B,Metropolitano 1979
1978,17,Boca Juniors,3,2,13,Atlanta,Fecha 40,Metropolitano 1978 
1978,13,Atlanta,1,1,17,Boca Juniors,Fecha 19,Metropolitano 1978 
1977,17,Boca Juniors,2,2,13,Atlanta,Fecha 28,Metropolitano 1977 
1977,13,Atlanta,1,0,17,Boca Juniors, Fecha 5,Metropolitano 1977
1976,13,Atlanta,2,1,17,Boca Juniors, Grupo A,Metropolitano 1976
1976,17,Boca Juniors,3,0,13,Atlanta, Grupo A,Metropolitano 1976
1975,17,Boca Juniors,2,0,13,Atlanta,Fecha 22,Metropolitano 1975 
1975,13,Atlanta,0,2,17,Boca Juniors, Fecha 3,Metropolitano 1975
1973,17,Boca Juniors,0,0,13,Atlanta,Fecha 29,Metropolitano 1973 
