0,1,2,3,4,5
"Mié., 8 de Jun.",Ferro Carril Oeste,0 - 1,Boca Juniors,Finalizado,Copa Argentina
"Dom., 5 de Jun.",Boca Juniors,2 - 1,Arsenal Sarandi,Finalizado,Liga Profesional de Argentina
,,,,,
"Jue., 26 de May.",Boca Juniors,1 - 0,Deportivo Cali,Finalizado,CONMEBOL Libertadores
"Dom., 22 de May.",Boca Juniors,3 - 0,Tigre,Finalizado,Argentine Copa de la Liga Profesional
"Mar., 17 de May.",Boca Juniors,1 - 1,Corinthians,Finalizado,CONMEBOL Libertadores
"Sáb., 14 de May.",Boca Juniors,0 - 0Boca Juniors ganó 6-5 en penales,Racing Club,Final - Pen,Argentine Copa de la Liga Profesional
"Mar., 10 de May.",Boca Juniors,2 - 0,Defensa y Justicia,Finalizado,Argentine Copa de la Liga Profesional
"Sáb., 7 de May.",Tigre,0 - 2,Boca Juniors,Finalizado,Argentine Copa de la Liga Profesional
"Mié., 4 de May.",Always Ready,0 - 1,Boca Juniors,Finalizado,CONMEBOL Libertadores
,,,,,
"Sáb., 30 de Abr.",Boca Juniors,2 - 0,Barracas Central,Finalizado,Argentine Copa de la Liga Profesional
"Mar., 26 de Abr.",Corinthians,2 - 0,Boca Juniors,Finalizado,CONMEBOL Libertadores
"Sáb., 23 de Abr.",Central Córdoba (Santiago del Estero),1 - 2,Boca Juniors,Finalizado,Argentine Copa de la Liga Profesional
"Mié., 20 de Abr.",Boca Juniors,1 - 1,Godoy Cruz Antonio Tomba,Finalizado,Argentine Copa de la Liga Profesional
"Dom., 17 de Abr.",Boca Juniors,1 - 1,Lanús,Finalizado,Argentine Copa de la Liga Profesional
"Mar., 12 de Abr.",Boca Juniors,2 - 0,Always Ready,Finalizado,CONMEBOL Libertadores
"Sáb., 9 de Abr.",Vélez Sarsfield,0 - 0,Boca Juniors,Finalizado,Argentine Copa de la Liga Profesional
"Mar., 5 de Abr.",Deportivo Cali,2 - 0,Boca Juniors,Finalizado,CONMEBOL Libertadores
"Sáb., 2 de Abr.",Boca Juniors,2 - 2,Arsenal Sarandi,Finalizado,Argentine Copa de la Liga Profesional
,,,,,
"Dom., 20 de Mar.",River Plate,0 - 1,Boca Juniors,Finalizado,Argentine Copa de la Liga Profesional
"Dom., 13 de Mar.",Estudiantes de La Plata,0 - 1,Boca Juniors,Finalizado,Argentine Copa de la Liga Profesional
"Dom., 6 de Mar.",Boca Juniors,0 - 1,Huracán,Finalizado,Argentine Copa de la Liga Profesional
"Mié., 2 de Mar.",Boca Juniors,4 - 1,Central Córdoba (Rosario),Finalizado,Copa Argentina
,,,,,
"Sáb., 26 de Feb.",Independiente,2 - 2,Boca Juniors,Finalizado,Argentine Copa de la Liga Profesional
"Dom., 20 de Feb.",Boca Juniors,2 - 1,Rosario Central,Finalizado,Argentine Copa de la Liga Profesional
"Mié., 16 de Feb.",Aldosivi,1 - 2,Boca Juniors,Finalizado,Argentine Copa de la Liga Profesional
"Dom., 13 de Feb.",Boca Juniors,1 - 1,Colón (Santa Fe),Finalizado,Argentine Copa de la Liga Profesional
